aircraft_id,model,fuel_liters,distance_km,date
N12345,B777,9500,12000,2024-01-05
N23456,A350,8800,11000,2024-01-12
N34567,B787,7200,10500,2024-01-19
N45678,A330,6500,9000,2024-01-26
N56789,B747,11000,14000,2024-02-02
N67890,B777,9800,12500,2024-02-09
N78901,A350,9100,11500,2024-02-16
N89012,B787,7500,10800,2024-02-23
N90123,A330,6800,9500,2024-03-01
N01234,B747,11300,14500,2024-03-08
N12346,B777,9600,12200,2024-03-15
N23457,A350,8900,11200,2024-03-22
N34568,B787,7300,10600,2024-03-29
N45679,A330,6600,9200,2024-04-05
N56790,B747,11100,14200,2024-04-12
N67891,B777,9900,12700,2024-04-19
N78902,A350,9200,11700,2024-04-26
N89013,B787,7600,10900,2024-05-03
N90124,A330,6900,9700,2024-05-10
N01235,B747,11400,14700,2024-05-17
N12347,B777,9700,12400,2024-05-24
N23458,A350,9000,11400,2024-05-31
N34569,B787,7400,10700,2024-06-07
N45680,A330,6700,9400,2024-06-14
N56791,B747,11200,14400,2024-06-21
N67892,B777,10000,12900,2024-06-28
N78903,A350,9300,11900,2024-07-05
N89014,B787,7700,11000,2024-07-12
N90125,A330,7000,9900,2024-07-19
N01236,B747,11500,14900,2024-07-26
N12348,B777,9800,12600,2024-08-02
N23459,A350,9100,11600,2024-08-09
N34570,B787,7500,10900,2024-08-16
N45681,A330,6800,9600,2024-08-23
N56792,B747,11300,14600,2024-08-30
N67893,B777,10100,13100,2024-09-06
N78904,A350,9400,12100,2024-09-13
N89015,B787,7800,11100,2024-09-20
N90126,A330,7100,10100,2024-09-27
N01237,B747,11600,15100,2024-10-04
N12349,B777,9900,12800,2024-10-11
N23460,A350,9200,11800,2024-10-18
N34571,B787,7600,11000,2024-10-25
N45682,A330,6900,9800,2024-11-01
N56793,B747,11400,14800,2024-11-08
N67894,B777,10200,13300,2024-11-15
N78905,A350,9500,12300,2024-11-22
N89016,B787,7900,11200,2024-11-29
N90127,A330,7200,10300,2024-12-06
N01238,B747,11700,15300,2024-12-13
N12350,B777,10000,13000,2024-12-20
N23461,A350,9300,12000,2024-12-27
N34572,B787,7700,11100,2024-01-03
N45683,A330,7000,9900,2024-01-10
N56794,B747,11500,14900,2024-01-17
N67895,B777,10300,13500,2024-01-24
N78906,A350,9600,12500,2024-01-31
N89017,B787,8000,11300,2024-02-07
N90128,A330,7300,10500,2024-02-14
N01239,B747,11800,15500,2024-02-21
N12351,B777,10100,13200,2024-02-28
N23462,A350,9400,12200,2024-03-06
N34573,B787,7800,11200,2024-03-13
N45684,A330,7100,10100,2024-03-20
N56795,B747,11600,15100,2024-03-27
N67896,B777,10400,13700,2024-04-03
N78907,A350,9700,12700,2024-04-10
N89018,B787,8100,11400,2024-04-17
N90129,A330,7400,10700,2024-04-24
N01240,B747,11900,15700,2024-05-01
N12352,B777,10200,13400,2024-05-08
N23463,A350,9500,12400,2024-05-15
N34574,B787,7900,11300,2024-05-22
N45685,A330,7200,10300,2024-05-29
N56796,B747,11700,15300,2024-06-05
N67897,B777,10500,13900,2024-06-12
N78908,A350,9800,12900,2024-06-19
N89019,B787,8200,11500,2024-06-26
N90130,A330,7500,10900,2024-07-03
N01241,B747,12000,15900,2024-07-10
N12353,B777,10300,13600,2024-07-17
N23464,A350,9600,12600,2024-07-24
N34575,B787,8000,11400,2024-07-31
N45686,A330,7300,10500,2024-08-07
N56797,B747,11800,15500,2024-08-14
N67898,B777,10600,14100,2024-08-21
N78909,A350,9900,13100,2024-08-28
N89020,B787,8300,11600,2024-09-04
N90131,A330,7600,11100,2024-09-11
N01242,B747,12100,16100,2024-09-18
N12354,B777,10400,13800,2024-09-25
N23465,A350,9700,12800,2024-10-02
N34576,B787,8100,11500,2024-10-09
N45687,A330,7400,10700,2024-10-16
N56798,B747,11900,15700,2024-10-23
N67899,B777,10700,14300,2024-10-30
N78910,A350,10000,13300,2024-11-06
N89021,B787,8400,11700,2024-11-13
N90132,A330,7700,11300,2024-11-20
N01243,B747,12200,16300,2024-11-27
N12355,B777,10500,14000,2024-12-04
N23466,A350,9800,13000,2024-12-11
N34577,B787,8200,11600,2024-12-18
N45688,A330,7500,10900,2024-12-25
N56799,B747,12000,15900,2025-01-01
